"Perioden";"Regio's";"Vestiging in de gemeente /Vestiging vanuit een andere gemeente (aantal)";"Vestiging in de gemeente /Immigratie (aantal)";"Vertrek uit de gemeente/Vertrek naar andere gemeente (aantal)";"Vertrek uit de gemeente/Emigratie inclusief adm. correcties (aantal)"
"2002";"Aa en Hunze";1121;232;1498;119
"2003";"Aa en Hunze";1071;56;1111;153
"2004";"Aa en Hunze";1104;63;1023;54
"2005";"Aa en Hunze";1254;68;1062;81
"2006";"Aa en Hunze";1320;49;1222;104
"2007";"Aa en Hunze";1151;57;1099;93
"2008";"Aa en Hunze";1087;76;1096;25
"2009";"Aa en Hunze";984;90;1055;76
"2010";"Aa en Hunze";1095;211;990;61
"2011";"Aa en Hunze";1017;75;997;64
"2012";"Aa en Hunze";995;89;1018;174
"2013";"Aa en Hunze";980;71;1090;75
"2014";"Aa en Hunze";1050;53;1088;89
"2015";"Aa en Hunze";1308;69;1183;66
"2016";"Aa en Hunze";1374;83;1188;92
"2017";"Aa en Hunze";1592;90;1393;79
"2018";"Aa en Hunze";1414;87;1303;81
"2019";"Aa en Hunze";1411;101;1305;44
"2020";"Aa en Hunze";1465;55;1395;64
"2021";"Aa en Hunze";1439;62;1180;57
"2022";"Aa en Hunze";1194;352;1127;148
"2023";"Aa en Hunze";1331;219;1183;127
"2002";"Aalburg";300;16;295;19
"2003";"Aalburg";344;21;293;27
"2004";"Aalburg";255;29;351;22
"2005";"Aalburg";354;10;355;22
"2006";"Aalburg";391;21;396;23
"2007";"Aalburg";355;38;343;19
"2008";"Aalburg";416;32;344;22
"2009";"Aalburg";295;25;323;24
"2010";"Aalburg";330;45;351;18
"2011";"Aalburg";334;39;357;43
"2012";"Aalburg";316;48;347;49
"2013";"Aalburg";318;57;322;22
"2014";"Aalburg";374;62;376;38
"2015";"Aalburg";420;82;402;38
"2016";"Aalburg";403;58;424;41
"2017";"Aalburg";496;66;499;22
"2018";"Aalburg";529;97;507;38
"2019";"Aalburg";;;;
"2020";"Aalburg";;;;
"2021";"Aalburg";;;;
"2022";"Aalburg";;;;
"2023";"Aalburg";;;;
"2002";"Aalsmeer";716;157;753;161
"2003";"Aalsmeer";771;122;749;143
"2004";"Aalsmeer";943;163;665;96
"2005";"Aalsmeer";1395;248;741;150
"2006";"Aalsmeer";1520;211;747;199
"2007";"Aalsmeer";2020;197;801;201
"2008";"Aalsmeer";2172;249;807;166
"2009";"Aalsmeer";1685;255;725;215
"2010";"Aalsmeer";1477;301;773;200
"2011";"Aalsmeer";900;256;917;203
"2012";"Aalsmeer";944;268;898;185
"2013";"Aalsmeer";965;275;986;232
"2014";"Aalsmeer";1165;337;1063;182
"2015";"Aalsmeer";1228;373;1200;240
"2016";"Aalsmeer";1432;316;1463;228
"2017";"Aalsmeer";1488;309;1382;265
"2018";"Aalsmeer";1373;301;1185;262
"2019";"Aalsmeer";1273;353;1232;229
"2020";"Aalsmeer";1538;327;1505;220
"2021";"Aalsmeer";1385;688;1431;266
"2022";"Aalsmeer";1473;978;1289;534
"2023";"Aalsmeer";1506;1041;1344;928
"2002";"Aalten";452;162;577;65
"2003";"Aalten";576;105;534;51
"2004";"Aalten";462;48;496;122
"2005";"Aalten";764;70;725;131
"2006";"Aalten";787;100;680;211
"2007";"Aalten";654;98;743;124
"2008";"Aalten";675;122;863;109
"2009";"Aalten";605;206;747;97
"2010";"Aalten";588;175;745;147
"2011";"Aalten";638;165;797;179
"2012";"Aalten";600;61;823;83
"2013";"Aalten";566;71;630;73
"2014";"Aalten";593;86;687;86
"2015";"Aalten";694;95;682;92
"2016";"Aalten";974;288;1032;71
"2017";"Aalten";1031;140;1109;99
"2018";"Aalten";820;124;720;116
"2019";"Aalten";827;123;725;98
"2020";"Aalten";705;119;710;80
"2021";"Aalten";809;107;750;132
"2022";"Aalten";733;236;626;130
"2023";"Aalten";768;184;682;140
"2002";"Ter Aar";212;15;249;26
"2003";"Ter Aar";197;9;302;30
"2004";"Ter Aar";281;28;310;30
"2005";"Ter Aar";247;37;297;21
"2006";"Ter Aar";270;55;354;40
"2007";"Ter Aar";;;;
"2008";"Ter Aar";;;;
"2009";"Ter Aar";;;;
"2010";"Ter Aar";;;;
"2011";"Ter Aar";;;;
"2012";"Ter Aar";;;;
"2013";"Ter Aar";;;;
"2014";"Ter Aar";;;;
"2015";"Ter Aar";;;;
"2016";"Ter Aar";;;;
"2017";"Ter Aar";;;;
"2018";"Ter Aar";;;;
"2019";"Ter Aar";;;;
"2020";"Ter Aar";;;;
"2021";"Ter Aar";;;;
"2022";"Ter Aar";;;;
"2023";"Ter Aar";;;;
"2002";"Abcoude";278;45;304;34
"2003";"Abcoude";277;46;313;42
"2004";"Abcoude";298;36;356;52
"2005";"Abcoude";377;30;344;50
"2006";"Abcoude";333;64;403;62
"2007";"Abcoude";352;54;391;52
"2008";"Abcoude";314;70;376;56
"2009";"Abcoude";378;43;342;39
"2010";"Abcoude";360;61;360;74
"2011";"Abcoude";;;;
"2012";"Abcoude";;;;
"2013";"Abcoude";;;;
"2014";"Abcoude";;;;
"2015";"Abcoude";;;;
"2016";"Abcoude";;;;
"2017";"Abcoude";;;;
"2018";"Abcoude";;;;
"2019";"Abcoude";;;;
"2020";"Abcoude";;;;
"2021";"Abcoude";;;;
"2022";"Abcoude";;;;
"2023";"Abcoude";;;;
"2002";"Achtkarspelen";763;26;860;56
"2003";"Achtkarspelen";713;31;823;37
"2004";"Achtkarspelen";713;38;866;44
"2005";"Achtkarspelen";845;36;950;27
"2006";"Achtkarspelen";774;35;947;56
"2007";"Achtkarspelen";751;40;969;35
"2008";"Achtkarspelen";725;49;893;19
"2009";"Achtkarspelen";693;38;841;63
"2010";"Achtkarspelen";724;34;852;24
"2011";"Achtkarspelen";728;71;840;66
"2012";"Achtkarspelen";721;59;780;33
"2013";"Achtkarspelen";639;43;786;61
"2014";"Achtkarspelen";721;44;820;41
"2015";"Achtkarspelen";882;64;938;34
"2016";"Achtkarspelen";921;29;1023;61
"2017";"Achtkarspelen";988;34;979;43
"2018";"Achtkarspelen";962;62;1071;46
"2019";"Achtkarspelen";1039;51;1089;65
"2020";"Achtkarspelen";933;64;951;31
"2021";"Achtkarspelen";965;46;892;45
"2022";"Achtkarspelen";895;308;902;126
"2023";"Achtkarspelen";930;230;941;145
"2002";"Alblasserdam";467;37;552;34
"2003";"Alblasserdam";487;29;654;23
"2004";"Alblasserdam";522;20;622;27
"2005";"Alblasserdam";656;34;648;47
"2006";"Alblasserdam";685;22;509;38
"2007";"Alblasserdam";539;43;544;35
"2008";"Alblasserdam";630;41;640;38
"2009";"Alblasserdam";582;53;496;41
"2010";"Alblasserdam";586;54;491;46
"2011";"Alblasserdam";658;65;520;50
"2012";"Alblasserdam";635;49;511;64
"2013";"Alblasserdam";610;43;552;45
"2014";"Alblasserdam";545;73;619;63
"2015";"Alblasserdam";657;83;618;75
"2016";"Alblasserdam";684;68;712;57
"2017";"Alblasserdam";709;81;777;55
"2018";"Alblasserdam";674;84;750;52
"2019";"Alblasserdam";770;78;745;40
"2020";"Alblasserdam";764;57;820;44
"2021";"Alblasserdam";759;63;856;43
"2022";"Alblasserdam";814;325;815;96
"2023";"Alblasserdam";724;196;890;137
"2002";"Albrandswaard";999;31;747;34
"2003";"Albrandswaard";1822;21;733;78
"2004";"Albrandswaard";1653;37;779;49
"2005";"Albrandswaard";1314;30;865;100
"2006";"Albrandswaard";1245;52;885;85
"2007";"Albrandswaard";1661;77;890;39
"2008";"Albrandswaard";1362;57;978;38
"2009";"Albrandswaard";1965;69;850;44
"2010";"Albrandswaard";1297;73;907;85
"2011";"Albrandswaard";1116;75;917;67
"2012";"Albrandswaard";972;89;999;41
"2013";"Albrandswaard";908;72;1060;45
"2014";"Albrandswaard";1113;58;1142;54
"2015";"Albrandswaard";1132;82;1318;101
"2016";"Albrandswaard";1500;100;1415;116
"2017";"Albrandswaard";1439;79;1334;127
"2018";"Albrandswaard";1280;104;1268;80
"2019";"Albrandswaard";1521;97;1284;66
"2020";"Albrandswaard";1578;72;1399;48
"2021";"Albrandswaard";1427;95;1378;74
"2022";"Albrandswaard";1447;173;1173;88
"2023";"Albrandswaard";1270;110;1257;98
"2002";"Alkemade";328;43;374;61
"2003";"Alkemade";310;54;335;41
"2004";"Alkemade";276;47;366;35
"2005";"Alkemade";304;49;370;23
"2006";"Alkemade";344;27;380;41
"2007";"Alkemade";309;48;402;52
"2008";"Alkemade";469;63;439;21
"2009";"Alkemade";;;;
"2010";"Alkemade";;;;
"2011";"Alkemade";;;;
"2012";"Alkemade";;;;
"2013";"Alkemade";;;;
"2014";"Alkemade";;;;
"2015";"Alkemade";;;;
"2016";"Alkemade";;;;
"2017";"Alkemade";;;;
"2018";"Alkemade";;;;
"2019";"Alkemade";;;;
"2020";"Alkemade";;;;
"2021";"Alkemade";;;;
"2022";"Alkemade";;;;
"2023";"Alkemade";;;;
"2002";"Alkmaar";3764;601;3936;336
"2003";"Alkmaar";4000;579;3702;463
"2004";"Alkmaar";4178;504;3810;1167
"2005";"Alkmaar";4067;509;4016;777
"2006";"Alkmaar";3853;651;4298;929
"2007";"Alkmaar";3618;959;4598;650
"2008";"Alkmaar";3754;993;4822;737
"2009";"Alkmaar";3514;1048;3877;614
"2010";"Alkmaar";3446;937;4054;638
"2011";"Alkmaar";3525;813;3743;615
"2012";"Alkmaar";3781;773;3855;776
"2013";"Alkmaar";3611;790;3771;539
"2014";"Alkmaar";3742;874;4062;524
"2015";"Alkmaar";4633;1121;4812;648
"2016";"Alkmaar";5475;1106;5259;738
"2017";"Alkmaar";5327;783;5619;620
"2018";"Alkmaar";4804;831;4981;735
"2019";"Alkmaar";4964;886;4594;584
"2020";"Alkmaar";5107;734;4871;552
"2021";"Alkmaar";5362;762;4771;620
"2022";"Alkmaar";5006;1502;4730;703
"2023";"Alkmaar";5039;917;4664;730
"2002";"Almelo";2512;554;2212;340
"2003";"Almelo";2314;311;2095;311
"2004";"Almelo";2076;274;2156;399
"2005";"Almelo";2093;242;2465;357
"2006";"Almelo";2192;218;2457;248
"2007";"Almelo";2164;265;2218;292
"2008";"Almelo";2192;486;2455;327
"2009";"Almelo";1924;492;2184;298
"2010";"Almelo";1972;457;2162;439
"2011";"Almelo";2029;505;2250;302
"2012";"Almelo";2062;537;2347;378
"2013";"Almelo";1953;494;2374;409
"2014";"Almelo";1978;400;2269;364
"2015";"Almelo";2266;543;2368;366
"2016";"Almelo";2424;599;2578;348
"2017";"Almelo";2866;490;2752;367
"2018";"Almelo";2701;658;2658;429
"2019";"Almelo";2570;640;2592;366
"2020";"Almelo";2537;543;2584;345
"2021";"Almelo";2670;552;2525;473
"2022";"Almelo";2894;1145;2644;513
"2023";"Almelo";2916;878;2640;599
"2002";"Almere";9918;1675;6666;926
"2003";"Almere";10420;1307;6513;1309
"2004";"Almere";9419;1141;6745;1394
"2005";"Almere";9355;1182;7091;1767
"2006";"Almere";8752;1167;7284;2072
"2007";"Almere";8007;1142;6865;1739
"2008";"Almere";7617;1509;6998;1398
"2009";"Almere";6657;1525;6296;1229
"2010";"Almere";6745;1828;6243;1527
"2011";"Almere";6470;2098;5990;1661
"2012";"Almere";6230;1769;6168;1299
"2013";"Almere";5781;1941;6523;1789
"2014";"Almere";5972;2217;6932;1874
"2015";"Almere";6898;2206;7298;2012
"2016";"Almere";8087;2339;7411;1623
"2017";"Almere";8640;2165;7564;1511
"2018";"Almere";9095;2469;7489;1495
"2019";"Almere";9524;2685;8169;1564
"2020";"Almere";9617;2131;8941;1407
