Regio's,Perioden,Huurverhoging inclusief huurharmonisatie,Huurverhoging exclusief huurharmonisatie
Nederland,2015,"2,4","1,9"
Nederland,2016,"1,9","1,4"
Nederland,2017,"1,6","1,2"
Nederland,2018,"2,3","1,8"
Nederland,2019,"2,5","2,1"
Nederland,2020,"2,9","2,4"
Nederland,2021,"0,8","0,3"
Nederland,2022,3,"2,4"
Nederland,2023,2,"1,3"
Nederland,2024,"5,4","4,7"
Noord-Nederland (LD),2015,"2,5","1,7"
Noord-Nederland (LD),2016,"1,4",1
Noord-Nederland (LD),2017,"1,2","0,8"
Noord-Nederland (LD),2018,"1,8","1,5"
Noord-Nederland (LD),2019,"2,3",2
Noord-Nederland (LD),2020,"2,9","2,6"
Noord-Nederland (LD),2021,"0,3","-0,1"
Noord-Nederland (LD),2022,"2,6","2,1"
Noord-Nederland (LD),2023,2,"1,4"
Noord-Nederland (LD),2024,"5,2","4,8"
Oost-Nederland (LD),2015,"2,3","1,9"
Oost-Nederland (LD),2016,"1,7","1,3"
Oost-Nederland (LD),2017,"1,3",1
Oost-Nederland (LD),2018,"2,2","1,8"
Oost-Nederland (LD),2019,"2,2","1,9"
Oost-Nederland (LD),2020,"2,3",2
Oost-Nederland (LD),2021,1,"0,6"
Oost-Nederland (LD),2022,"2,7","2,3"
Oost-Nederland (LD),2023,"1,6",1
Oost-Nederland (LD),2024,"5,6","4,9"
West-Nederland (LD),2015,"2,5",2
West-Nederland (LD),2016,"2,1","1,5"
West-Nederland (LD),2017,"1,8","1,3"
West-Nederland (LD),2018,"2,6",2
West-Nederland (LD),2019,"2,8","2,3"
West-Nederland (LD),2020,"3,1","2,5"
West-Nederland (LD),2021,"0,9","0,3"
West-Nederland (LD),2022,"3,2","2,5"
West-Nederland (LD),2023,"2,1","1,4"
West-Nederland (LD),2024,"5,5","4,6"
Zuid-Nederland (LD),2015,"2,2","1,8"
Zuid-Nederland (LD),2016,"1,7","1,3"
Zuid-Nederland (LD),2017,"1,6","1,2"
Zuid-Nederland (LD),2018,2,"1,6"
Zuid-Nederland (LD),2019,"2,3",2
Zuid-Nederland (LD),2020,"2,7","2,4"
Zuid-Nederland (LD),2021,"0,6","0,3"
Zuid-Nederland (LD),2022,"2,7","2,3"
Zuid-Nederland (LD),2023,"1,8","1,2"
Zuid-Nederland (LD),2024,"5,3","4,8"
Groningen (PV),2015,"2,8","1,9"
Groningen (PV),2016,"1,5",1
Groningen (PV),2017,"1,1","0,8"
Groningen (PV),2018,"1,9","1,6"
Groningen (PV),2019,"2,5","2,1"
Groningen (PV),2020,3,"2,6"
Groningen (PV),2021,"0,5",0
Groningen (PV),2022,"2,8","2,2"
Groningen (PV),2023,"1,9","1,1"
Groningen (PV),2024,5,"4,6"
Fryslân (PV),2015,"2,5","1,7"
Fryslân (PV),2016,"1,6","1,1"
Fryslân (PV),2017,"1,3","0,9"
Fryslân (PV),2018,"2,3","1,7"
Fryslân (PV),2019,"2,3","1,9"
Fryslân (PV),2020,"2,8","2,4"
Fryslân (PV),2021,"-0,1","-0,4"
Fryslân (PV),2022,"2,5","2,1"
