Regio's,Onderwerp,,2019,2020,2021,2022,2023
Aa en Hunze,Gemiddelde verkoopprijs,euro,284794,303789,393780,407982,411021
Aalburg,Gemiddelde verkoopprijs,euro,,,,,
Aalsmeer,Gemiddelde verkoopprijs,euro,409304,438060,538786,570707,536574
Aalten,Gemiddelde verkoopprijs,euro,226080,261776,306386,319641,318710
Ter Aar,Gemiddelde verkoopprijs,euro,,,,,
Aarle-Rixtel,Gemiddelde verkoopprijs,euro,,,,,
Abcoude,Gemiddelde verkoopprijs,euro,,,,,
Achtkarspelen,Gemiddelde verkoopprijs,euro,216483,241065,295024,305540,319773
Akersloot,Gemiddelde verkoopprijs,euro,,,,,
Alblasserdam,Gemiddelde verkoopprijs,euro,268447,292610,332755,368461,359952
Albrandswaard,Gemiddelde verkoopprijs,euro,361942,375789,452849,493052,468361
Alkemade,Gemiddelde verkoopprijs,euro,,,,,
Alkmaar,Gemiddelde verkoopprijs,euro,286883,313937,365446,399298,393418
Almelo,Gemiddelde verkoopprijs,euro,209973,222697,273244,293519,306698
Almere,Gemiddelde verkoopprijs,euro,294284,330079,390714,439053,424531
Alphen aan den Rijn,Gemiddelde verkoopprijs,euro,286500,320239,360031,411170,401474
Alphen en Riel,Gemiddelde verkoopprijs,euro,,,,,
Alphen-Chaam,Gemiddelde verkoopprijs,euro,347848,390439,466144,525868,461830
Altena,Gemiddelde verkoopprijs,euro,291448,319849,357769,402772,404703
Ambt Delden,Gemiddelde verkoopprijs,euro,,,,,
Ambt Montfort,Gemiddelde verkoopprijs,euro,,,,,
Ameland,Gemiddelde verkoopprijs,euro,321196,346924,345157,388696,353454
Amerongen,Gemiddelde verkoopprijs,euro,,,,,
Amersfoort,Gemiddelde verkoopprijs,euro,358651,379129,416892,468507,466025
Ammerzoden,Gemiddelde verkoopprijs,euro,,,,,
Amstelveen,Gemiddelde verkoopprijs,euro,525247,534717,625658,658372,615382
Amsterdam,Gemiddelde verkoopprijs,euro,484995,510919,569890,620954,568161
Andijk,Gemiddelde verkoopprijs,euro,,,,,
Angerlo,Gemiddelde verkoopprijs,euro,,,,,
Anloo,Gemiddelde verkoopprijs,euro,,,,,
Anna Paulowna,Gemiddelde verkoopprijs,euro,,,,,
Apeldoorn,Gemiddelde verkoopprijs,euro,287155,316006,379364,420466,407625
Appingedam,Gemiddelde verkoopprijs,euro,194795,204754,,,
Arcen en Velden,Gemiddelde verkoopprijs,euro,,,,,
Arnemuiden,Gemiddelde verkoopprijs,euro,,,,,
Arnhem,Gemiddelde verkoopprijs,euro,260635,279571,344738,383699,369114
Assen,Gemiddelde verkoopprijs,euro,228658,250572,301082,330027,334100
Asten,Gemiddelde verkoopprijs,euro,334156,342335,379682,429888,439900
Avereest,Gemiddelde verkoopprijs,euro,,,,,
Axel,Gemiddelde verkoopprijs,euro,,,,,
Baarle-Nassau,Gemiddelde verkoopprijs,euro,334058,314453,366251,426396,391221
Baarn,Gemiddelde verkoopprijs,euro,431161,473873,529145,600665,539068
Bakel en Milheeze,Gemiddelde verkoopprijs,euro,,,,,
Barendrecht,Gemiddelde verkoopprijs,euro,352460,376908,433258,493806,466518
Barneveld,Gemiddelde verkoopprijs,euro,359070,389922,451336,518412,488905
Bathmen,Gemiddelde verkoopprijs,euro,,,,,
Bedum,Gemiddelde verkoopprijs,euro,,,,,
Beek (L.),Gemiddelde verkoopprijs,euro,231409,255888,297820,328742,331369
Beek en Donk,Gemiddelde verkoopprijs,euro,,,,,
Beekdaelen,Gemiddelde verkoopprijs,euro,248905,274875,313156,338889,335685
Beemster,Gemiddelde verkoopprijs,euro,437693,463775,502018,,
Beesel,Gemiddelde verkoopprijs,euro,233443,267983,290029,299072,344540
Beilen,Gemiddelde verkoopprijs,euro,,,,,
Belfeld,Gemiddelde verkoopprijs,euro,,,,,
Bellingwedde,Gemiddelde verkoopprijs,euro,,,,,
Bemmel,Gemiddelde verkoopprijs,euro,,,,,
Bennebroek,Gemiddelde verkoopprijs,euro,,,,,
Berg en Dal,Gemiddelde verkoopprijs,euro,292830,340206,377603,424764,427618
Bergambacht,Gemiddelde verkoopprijs,euro,,,,,
Bergeijk,Gemiddelde verkoopprijs,euro,335601,373967,402488,446887,422328
Bergen (L.),Gemiddelde verkoopprijs,euro,240030,275066,301211,369272,337950
Bergen (NH.),Gemiddelde verkoopprijs,euro,488406,549858,659453,685916,688064
Bergen op Zoom,Gemiddelde verkoopprijs,euro,255679,278752,307371,321657,338389
Bergeyk,Gemiddelde verkoopprijs,euro,,,,,
Bergh,Gemiddelde verkoopprijs,euro,,,,,
Bergschenhoek,Gemiddelde verkoopprijs,euro,,,,,
Berkel en Rodenrijs,Gemiddelde verkoopprijs,euro,,,,,
Berkel-Enschot,Gemiddelde verkoopprijs,euro,,,,,
Berkelland,Gemiddelde verkoopprijs,euro,265879,302442,339725,365803,401334
Berlicum,Gemiddelde verkoopprijs,euro,,,,,
Bernheze,Gemiddelde verkoopprijs,euro,327786,368167,425441,475097,496395
Bernisse,Gemiddelde verkoopprijs,euro,,,,,
Best,Gemiddelde verkoopprijs,euro,341016,364533,414438,456881,452216
Beuningen,Gemiddelde verkoopprijs,euro,299340,334859,378836,428327,422424
Beverwijk,Gemiddelde verkoopprijs,euro,258905,304572,335751,382620,369981
het Bildt,Gemiddelde verkoopprijs,euro,,,,,
De Bilt,Gemiddelde verkoopprijs,euro,481411,540361,634801,719556,608049
Binnenmaas,Gemiddelde verkoopprijs,euro,,,,,
Bladel,Gemiddelde verkoopprijs,euro,334264,358832,409300,465418,441886
Bladel en Netersel,Gemiddelde verkoopprijs,euro,,,,,
Blaricum,Gemiddelde verkoopprijs,euro,775909,831788,1067258,1099057,1070259
Bleiswijk,Gemiddelde verkoopprijs,euro,,,,,
Bloemendaal,Gemiddelde verkoopprijs,euro,831578,863297,1007936,1118894,1088814
Boarnsterhim,Gemiddelde verkoopprijs,euro,,,,,
Bodegraven,Gemiddelde verkoopprijs,euro,,,,,
Bodegraven-Reeuwijk,Gemiddelde verkoopprijs,euro,330097,356638,429306,495663,459624
Boekel,Gemiddelde verkoopprijs,euro,315919,325511,366401,448015,445458
Ten Boer,Gemiddelde verkoopprijs,euro,,,,,
Bolsward,Gemiddelde verkoopprijs,euro,,,,,
Borculo,Gemiddelde verkoopprijs,euro,,,,,
Borger,Gemiddelde verkoopprijs,euro,,,,,
Borger-Odoorn,Gemiddelde verkoopprijs,euro,233711,276324,305783,354458,345005
Born,Gemiddelde verkoopprijs,euro,,,,,
Borne,Gemiddelde verkoopprijs,euro,270534,311055,336553,382521,378701
Borsele,Gemiddelde verkoopprijs,euro,241363,259279,297555,328813,337098
Boskoop,Gemiddelde verkoopprijs,euro,,,,,
Boxmeer,Gemiddelde verkoopprijs,euro,293693,306240,376130,,
Boxtel,Gemiddelde verkoopprijs,euro,337626,318532,404430,466586,445741
Brakel,Gemiddelde verkoopprijs,euro,,,,,
Breda,Gemiddelde verkoopprijs,euro,349971,378935,427348,470555,437260
Brederwiede,Gemiddelde verkoopprijs,euro,,,,,
Breukelen,Gemiddelde verkoopprijs,euro,,,,,
Brielle,Gemiddelde verkoopprijs,euro,295460,330582,371768,406146,
Broekhuizen,Gemiddelde verkoopprijs,euro,,,,,
Bronckhorst,Gemiddelde verkoopprijs,euro,312686,366813,424632,432987,448373
Brouwershaven,Gemiddelde verkoopprijs,euro,,,,,
Bruinisse,Gemiddelde verkoopprijs,euro,,,,,
Brummen,Gemiddelde verkoopprijs,euro,314125,351320,377695,461758,381877
Brunssum,Gemiddelde verkoopprijs,euro,174186,203262,230838,239286,254101
Budel,Gemiddelde verkoopprijs,euro,,,,,
Bunnik,Gemiddelde verkoopprijs,euro,405915,441040,537433,583587,550477
Bunschoten,Gemiddelde verkoopprijs,euro,326403,363809,401056,410781,441758
Buren,Gemiddelde verkoopprijs,euro,324945,364958,429241,500229,489397
Bussum,Gemiddelde verkoopprijs,euro,,,,,
Capelle aan den IJssel,Gemiddelde verkoopprijs,euro,265359,294059,343101,368037,365589
Castricum,Gemiddelde verkoopprijs,euro,369741,395177,461120,513657,484354
Chaam,Gemiddelde verkoopprijs,euro,,,,,
Coevorden,Gemiddelde verkoopprijs,euro,236021,276626,312553,342313,352000
Cothen,Gemiddelde verkoopprijs,euro,,,,,
Cranendonck,Gemiddelde verkoopprijs,euro,283676,317322,344682,394113,401855
Cromstrijen,Gemiddelde verkoopprijs,euro,,,,,
Cuijk,Gemiddelde verkoopprijs,euro,281980,287731,326136,,
Culemborg,Gemiddelde verkoopprijs,euro,299647,319641,385595,406851,427235
Dalen,Gemiddelde verkoopprijs,euro,,,,,
Dalfsen,Gemiddelde verkoopprijs,euro,303668,344270,393372,438023,453709
Dantumadeel,Gemiddelde verkoopprijs,euro,,,,,
Dantumadiel,Gemiddelde verkoopprijs,euro,234227,257872,290598,365470,332254
Delft,Gemiddelde verkoopprijs,euro,311299,339921,395478,417460,388177
