,2019,2020,2021,2022,2023,2024**
Aa en Hunze,276,292,309,340,390,396
Aalsmeer,393,421,447,498,574,573
Aalten,234,249,265,294,347,366
Achtkarspelen,217,229,247,270,305,323
Alblasserdam,257,278,299,326,385,408
Albrandswaard,330,358,381,419,492,512
Alkmaar,267,292,312,346,410,427
Almelo,211,230,248,281,339,353
Almere,250,282,310,348,409,424
Alphen aan den Rijn,288,310,330,362,420,438
Alphen-Chaam,364,384,408,442,486,506
Altena,291,310,330,363,427,449
Ameland,273,279,297,351,393,400
Amersfoort,341,368,398,441,518,504
Amstelveen,494,539,572,608,683,684
Amsterdam,494,549,563,582,685,666
Apeldoorn,295,316,336,370,453,461
Appingedam,179,193,,,,
Arnhem,265,287,313,348,420,435
Assen,222,236,254,286,333,340
Asten,337,363,374,410,455,470
Baarle-Nassau,333,353,377,402,439,460
Baarn,391,424,462,504,578,603
Barendrecht,321,353,377,409,470,486
Barneveld,344,369,395,439,505,527
Beek (L.),236,256,274,290,336,340
Beekdaelen,240,258,276,296,341,344
Beemster,409,447,475,,,
Beesel,232,255,274,288,334,341
Berg en Dal,293,309,329,363,412,435
Bergeijk,340,357,380,424,474,520
Bergen (L.),255,274,293,313,364,372
Bergen (NH.),447,485,515,561,643,677
Bergen op Zoom,263,279,298,322,362,370
Berkelland,279,295,314,344,408,425
Bernheze,342,370,378,425,491,523
Best,324,343,359,403,455,484
Beuningen,287,310,332,375,429,445
Beverwijk,258,285,309,344,408,406
De Bilt,500,532,562,591,714,720
Bladel,322,341,366,409,455,484
Blaricum,711,757,816,865,987,1012
Bloemendaal,809,870,916,982,1100,1082
Bodegraven-Reeuwijk,348,371,395,426,488,505
Boekel,314,336,343,383,443,467
Borger-Odoorn,222,236,256,286,334,342
Borne,277,294,316,354,416,443
Borsele,246,257,268,292,325,350
Boxmeer,289,297,307,,,
Boxtel,320,341,359,391,451,458
Breda,342,370,398,426,481,493
Brielle,268,290,312,343,,
Bronckhorst,308,329,343,397,474,498
Brummen,306,322,338,375,445,458
Brunssum,172,189,202,219,258,259
Bunnik,386,422,449,481,584,576
Bunschoten,319,343,372,409,461,482
Buren,341,362,383,420,459,492
Capelle aan den IJssel,255,288,308,336,383,422
Castricum,346,378,413,452,535,543
Coevorden,236,250,263,293,333,346
Cranendonck,292,311,331,368,399,422
Cuijk,262,278,298,,,
Culemborg,272,292,318,355,423,451
Dalfsen,323,344,363,392,442,477
Dantumadiel,220,231,258,300,353,373
Delft,297,340,371,404,450,469
Delfzijl,151,160,,,,
Deurne,317,341,348,389,446,458
Deventer,262,281,304,339,403,423
Diemen,346,396,429,467,541,540
Dijk en Waard,,,,350,414,443
Dinkelland,317,332,349,380,422,458
Doesburg,244,259,280,314,357,371
Doetinchem,252,266,285,317,371,385
Dongen,281,300,320,344,384,397
Dordrecht,233,257,283,308,365,380
Drechterland,300,321,346,382,451,468
Drimmelen,284,302,324,375,417,462
Dronten,265,282,298,324,384,404
Druten,279,301,319,358,396,420
Duiven,254,275,296,328,394,404
Echt-Susteren,241,258,278,290,338,339
Edam-Volendam,302,330,357,393,434,443
Ede,315,338,360,393,455,488
Eemnes,383,420,455,490,572,590
Eemsdelta,,,197,218,254,272
Eersel,346,367,389,448,504,547
Eijsden-Margraten,287,307,329,346,413,423
Eindhoven,307,334,360,393,450,457
Elburg,290,310,330,355,399,420
Emmen,196,209,224,252,289,301
