"ID";"RegioS";"Perioden";"GemiddeldeVerkoopprijs_1"
"493";"GM1680";"1995JJ00";""
"494";"GM1680";"1996JJ00";""
"495";"GM1680";"1997JJ00";""
"496";"GM1680";"1998JJ00";"  130136"
"497";"GM1680";"1999JJ00";"  159338"
"498";"GM1680";"2000JJ00";"  182830"
"499";"GM1680";"2001JJ00";"  216452"
"500";"GM1680";"2002JJ00";"  210945"
"501";"GM1680";"2003JJ00";"  205222"
"502";"GM1680";"2004JJ00";"  222208"
"503";"GM1680";"2005JJ00";"  231917"
"504";"GM1680";"2006JJ00";"  244657"
"505";"GM1680";"2007JJ00";"  265383"
"506";"GM1680";"2008JJ00";"  269367"
"507";"GM1680";"2009JJ00";"  227898"
"508";"GM1680";"2010JJ00";"  230392"
"509";"GM1680";"2011JJ00";"  236209"
"510";"GM1680";"2012JJ00";"  219111"
"511";"GM1680";"2013JJ00";"  213176"
"512";"GM1680";"2014JJ00";"  213509"
"513";"GM1680";"2015JJ00";"  241481"
"514";"GM1680";"2016JJ00";"  227275"
"515";"GM1680";"2017JJ00";"  241866"
"516";"GM1680";"2018JJ00";"  258980"
"517";"GM1680";"2019JJ00";"  284794"
"518";"GM1680";"2020JJ00";"  303789"
"519";"GM1680";"2021JJ00";"  393780"
"520";"GM1680";"2022JJ00";"  407982"
"521";"GM1680";"2023JJ00";"  411021"
"522";"GM0738";"1995JJ00";"  102023"
"523";"GM0738";"1996JJ00";"  115362"
"524";"GM0738";"1997JJ00";"  130831"
"525";"GM0738";"1998JJ00";"  141027"
"526";"GM0738";"1999JJ00";"  171212"
"527";"GM0738";"2000JJ00";"  212336"
"528";"GM0738";"2001JJ00";"  239708"
"529";"GM0738";"2002JJ00";"  231182"
"530";"GM0738";"2003JJ00";"  258579"
"531";"GM0738";"2004JJ00";"  243096"
"532";"GM0738";"2005JJ00";"  281099"
"533";"GM0738";"2006JJ00";"  278193"
"534";"GM0738";"2007JJ00";"  296221"
"535";"GM0738";"2008JJ00";"  286518"
"536";"GM0738";"2009JJ00";"  242576"
"537";"GM0738";"2010JJ00";"  276192"
"538";"GM0738";"2011JJ00";"  266466"
"539";"GM0738";"2012JJ00";"  250662"
"540";"GM0738";"2013JJ00";"  229378"
"541";"GM0738";"2014JJ00";"  229823"
"542";"GM0738";"2015JJ00";"  230525"
"543";"GM0738";"2016JJ00";"  248188"
"544";"GM0738";"2017JJ00";"  279988"
"545";"GM0738";"2018JJ00";"  284120"
"546";"GM0738";"2019JJ00";""
"547";"GM0738";"2020JJ00";""
"548";"GM0738";"2021JJ00";""
"549";"GM0738";"2022JJ00";""
"550";"GM0738";"2023JJ00";""
"551";"GM0358";"1995JJ00";"  115081"
"552";"GM0358";"1996JJ00";"  126116"
"553";"GM0358";"1997JJ00";"  136515"
"554";"GM0358";"1998JJ00";"  150441"
"555";"GM0358";"1999JJ00";"  201630"
"556";"GM0358";"2000JJ00";"  213742"
"557";"GM0358";"2001JJ00";"  251666"
"558";"GM0358";"2002JJ00";"  257608"
"559";"GM0358";"2003JJ00";"  282494"
"560";"GM0358";"2004JJ00";"  261497"
"561";"GM0358";"2005JJ00";"  286247"
"562";"GM0358";"2006JJ00";"  306764"
"563";"GM0358";"2007JJ00";"  330582"
"564";"GM0358";"2008JJ00";"  304057"
"565";"GM0358";"2009JJ00";"  302299"
"566";"GM0358";"2010JJ00";"  305355"
"567";"GM0358";"2011JJ00";"  314737"
"568";"GM0358";"2012JJ00";"  265452"
"569";"GM0358";"2013JJ00";"  288004"
"570";"GM0358";"2014JJ00";"  271638"
"571";"GM0358";"2015JJ00";"  277057"
"572";"GM0358";"2016JJ00";"  332572"
"573";"GM0358";"2017JJ00";"  375983"
"574";"GM0358";"2018JJ00";"  406960"
"575";"GM0358";"2019JJ00";"  409304"
"576";"GM0358";"2020JJ00";"  438060"
"577";"GM0358";"2021JJ00";"  538786"
"578";"GM0358";"2022JJ00";"  570707"
"579";"GM0358";"2023JJ00";"  536574"
"580";"GM0197";"1995JJ00";"   90191"
"581";"GM0197";"1996JJ00";"  105185"
"582";"GM0197";"1997JJ00";"   96758"
"583";"GM0197";"1998JJ00";"  119551"
"584";"GM0197";"1999JJ00";"  114640"
"585";"GM0197";"2000JJ00";"  153334"
"586";"GM0197";"2001JJ00";"  147145"
"587";"GM0197";"2002JJ00";"  169135"
"588";"GM0197";"2003JJ00";"  167115"
