"ID";"StatusVanBewoning";"RegioS";"Perioden";"TotaleWoningvoorraad_1";"Koopwoningen_2";"TotaalHuurwoningen_3";"EigendomWoningcorporatie_4";"EigendomOverigeVerhuurders_5";"EigendomOnbekend_6"
"741";"T001235";"GM1680";"2012JJ00";"   12414";"    8334";"    3204";"    1971";"    1233";"     876"
"742";"T001235";"GM1680";"2013JJ00";"   11214";"    7963";"    3023";"    1995";"    1028";"     228"
"743";"T001235";"GM1680";"2014JJ00";"   11173";"    7896";"    3110";"    1948";"    1162";"     167"
"744";"T001235";"GM1680";"2015JJ00";"   11150";"    7869";"    3148";"    2098";"    1050";"     133"
"745";"T001235";"GM1680";"2016JJ00";"   11131";"    7916";"    3045";"    1967";"    1078";"     170"
"746";"T001235";"GM1680";"2017JJ00";"   11145";"    7880";"    3092";"    1964";"    1128";"     173"
"747";"T001235";"GM1680";"2018JJ00";"   11165";"    8157";"    2839";"    1969";"     870";"     169"
"748";"T001235";"GM1680";"2019JJ00";"   11257";"    8342";"    2898";"    2224";"     674";"      17"
"749";"T001235";"GM1680";"2020JJ00";"   11179";"    8338";"    2841";"    2218";"     623";"       0"
"750";"T001235";"GM1680";"2021JJ00";"   11207";"    8378";"    2829";"    2213";"     616";"       0"
"751";"T001235";"GM1680";"2022JJ00";"   11336";"    8500";"    2836";"    2228";"     608";"       0"
"752";"T001235";"GM1680";"2023JJ00";"   11428";"    8576";"    2847";"    2238";"     609";"       5"
"753";"T001235";"GM1680";"2024JJ00";"   11500";"    8656";"    2843";"    2222";"     621";"       1"
"754";"T001235";"GM0738";"2012JJ00";"    4769";"    3455";"    1307";"     983";"     324";"       7"
"755";"T001235";"GM0738";"2013JJ00";"    4857";"    3499";"    1351";"    1004";"     347";"       7"
"756";"T001235";"GM0738";"2014JJ00";"    4971";"    3540";"    1389";"    1012";"     377";"      42"
"757";"T001235";"GM0738";"2015JJ00";"    5020";"    3542";"    1427";"     962";"     465";"      51"
"758";"T001235";"GM0738";"2016JJ00";"    5031";"    3611";"    1407";"     939";"     468";"      13"
"759";"T001235";"GM0738";"2017JJ00";"    5071";"    3629";"    1434";"     927";"     507";"       8"
"760";"T001235";"GM0738";"2018JJ00";"    5109";"    3701";"    1375";"     943";"     432";"      33"
"761";"T001235";"GM0738";"2019JJ00";"";"";"";"";"";""
"762";"T001235";"GM0738";"2020JJ00";"";"";"";"";"";""
"763";"T001235";"GM0738";"2021JJ00";"";"";"";"";"";""
"764";"T001235";"GM0738";"2022JJ00";"";"";"";"";"";""
"765";"T001235";"GM0738";"2023JJ00";"";"";"";"";"";""
"766";"T001235";"GM0738";"2024JJ00";"";"";"";"";"";""
"767";"T001235";"GM0358";"2012JJ00";"   12267";"    7857";"    4340";"    3055";"    1285";"      70"
"768";"T001235";"GM0358";"2013JJ00";"   12354";"    7913";"    4395";"    3052";"    1343";"      46"
"769";"T001235";"GM0358";"2014JJ00";"   12780";"    8057";"    4468";"    3151";"    1317";"     255"
"770";"T001235";"GM0358";"2015JJ00";"   12803";"    8107";"    4501";"    3195";"    1306";"     195"
"771";"T001235";"GM0358";"2016JJ00";"   12893";"    8144";"    4500";"    3135";"    1365";"     249"
"772";"T001235";"GM0358";"2017JJ00";"   12919";"    8158";"    4516";"    3134";"    1382";"     245"
"773";"T001235";"GM0358";"2018JJ00";"   12888";"    8262";"    4382";"    3092";"    1290";"     244"
"774";"T001235";"GM0358";"2019JJ00";"   13091";"    8458";"    4629";"    3109";"    1520";"       4"
"775";"T001235";"GM0358";"2020JJ00";"   13217";"    8557";"    4656";"    3115";"    1541";"       4"
"776";"T001235";"GM0358";"2021JJ00";"   13284";"    8600";"    4680";"    3150";"    1530";"       4"
"777";"T001235";"GM0358";"2022JJ00";"   13368";"    8638";"    4726";"    3215";"    1511";"       4"
"778";"T001235";"GM0358";"2023JJ00";"   13460";"    8682";"    4771";"    3216";"    1555";"       7"
"779";"T001235";"GM0358";"2024JJ00";"   13698";"    8768";"    4924";"    3325";"    1599";"       6"
"780";"T001235";"GM0197";"2012JJ00";"   11504";"    7973";"    3492";"    2467";"    1025";"      39"
"781";"T001235";"GM0197";"2013JJ00";"   11451";"    8044";"    3384";"    2414";"     970";"      23"
"782";"T001235";"GM0197";"2014JJ00";"   11687";"    8102";"    3401";"    2389";"    1012";"     184"
"783";"T001235";"GM0197";"2015JJ00";"   11775";"    8164";"    3417";"    2344";"    1073";"     194"
"784";"T001235";"GM0197";"2016JJ00";"   11811";"    8204";"    3416";"    2288";"    1128";"     191"
"785";"T001235";"GM0197";"2017JJ00";"   11872";"    8262";"    3418";"    2282";"    1136";"     192"
"786";"T001235";"GM0197";"2018JJ00";"   11922";"    8318";"    3424";"    2303";"    1121";"     180"
