"ID";"EigenaarHuurder";"HuishoudensEnWoningkenmerken";"RegioS";"Perioden";"TotaleWoonlasten_2";"Woonquote_5"
"61535";"A025403";"T001139";"NL01  ";"2018JJ00";"     902";"    22.8"
"61536";"A025403";"T001139";"NL01  ";"2019JJ00";"     918";"    22.3"
"61537";"A025403";"T001139";"NL01  ";"2020JJ00";"     909";"    21.2"
"61538";"A025403";"T001139";"NL01  ";"2021JJ00";"     922";"    20.9"
"61539";"A025403";"T001139";"NL01  ";"2022JJ00";"     856";"    18.7"
"61540";"A025403";"T001139";"GM1680";"2018JJ00";"     850";"    22.7"
"61541";"A025403";"T001139";"GM1680";"2019JJ00";"     844";"    22.0"
"61542";"A025403";"T001139";"GM1680";"2020JJ00";"     851";"    20.9"
"61543";"A025403";"T001139";"GM1680";"2021JJ00";"     874";"    20.6"
"61544";"A025403";"T001139";"GM1680";"2022JJ00";"     810";"    18.8"
"61545";"A025403";"T001139";"GM0738";"2018JJ00";"     946";"    23.2"
"61546";"A025403";"T001139";"GM0738";"2019JJ00";"";"       ."
"61547";"A025403";"T001139";"GM0738";"2020JJ00";"";"       ."
"61548";"A025403";"T001139";"GM0738";"2021JJ00";"";"       ."
"61549";"A025403";"T001139";"GM0738";"2022JJ00";"";"       ."
"61550";"A025403";"T001139";"GM0358";"2018JJ00";"    1057";"    22.9"
"61551";"A025403";"T001139";"GM0358";"2019JJ00";"    1070";"    22.2"
"61552";"A025403";"T001139";"GM0358";"2020JJ00";"    1045";"    21.4"
"61553";"A025403";"T001139";"GM0358";"2021JJ00";"    1074";"    21.0"
"61554";"A025403";"T001139";"GM0358";"2022JJ00";"     976";"    18.6"
"61555";"A025403";"T001139";"GM0197";"2018JJ00";"     769";"    22.5"
"61556";"A025403";"T001139";"GM0197";"2019JJ00";"     788";"    22.1"
"61557";"A025403";"T001139";"GM0197";"2020JJ00";"     772";"    20.7"
"61558";"A025403";"T001139";"GM0197";"2021JJ00";"     797";"    20.6"
"61559";"A025403";"T001139";"GM0197";"2022JJ00";"     747";"    18.5"
"61560";"A025403";"T001139";"GM0059";"2018JJ00";"     765";"    23.3"
"61561";"A025403";"T001139";"GM0059";"2019JJ00";"     781";"    22.6"
"61562";"A025403";"T001139";"GM0059";"2020JJ00";"     772";"    21.6"
"61563";"A025403";"T001139";"GM0059";"2021JJ00";"     794";"    21.4"
"61564";"A025403";"T001139";"GM0059";"2022JJ00";"     821";"    19.5"
"61565";"A025403";"T001139";"GM0482";"2018JJ00";"     882";"    21.8"
"61566";"A025403";"T001139";"GM0482";"2019JJ00";"     900";"    21.4"
"61567";"A025403";"T001139";"GM0482";"2020JJ00";"     890";"    20.2"
"61568";"A025403";"T001139";"GM0482";"2021JJ00";"     872";"    19.4"
"61569";"A025403";"T001139";"GM0482";"2022JJ00";"     817";"    17.6"
"61570";"A025403";"T001139";"GM0613";"2018JJ00";"    1071";"    22.8"
"61571";"A025403";"T001139";"GM0613";"2019JJ00";"    1081";"    22.1"
"61572";"A025403";"T001139";"GM0613";"2020JJ00";"    1072";"    21.2"
"61573";"A025403";"T001139";"GM0613";"2021JJ00";"    1085";"    21.0"
"61574";"A025403";"T001139";"GM0613";"2022JJ00";"     992";"    18.6"
"61575";"A025403";"T001139";"GM0361";"2018JJ00";"     838";"    22.4"
"61576";"A025403";"T001139";"GM0361";"2019JJ00";"     854";"    21.9"
"61577";"A025403";"T001139";"GM0361";"2020JJ00";"     843";"    20.8"
"61578";"A025403";"T001139";"GM0361";"2021JJ00";"     855";"    20.5"
"61579";"A025403";"T001139";"GM0361";"2022JJ00";"     798";"    18.3"
"61580";"A025403";"T001139";"GM0141";"2018JJ00";"     814";"    23.2"
"61581";"A025403";"T001139";"GM0141";"2019JJ00";"     831";"    22.6"
"61582";"A025403";"T001139";"GM0141";"2020JJ00";"     835";"    21.6"
"61583";"A025403";"T001139";"GM0141";"2021JJ00";"     866";"    21.8"
"61584";"A025403";"T001139";"GM0141";"2022JJ00";"     815";"    19.7"
"61585";"A025403";"T001139";"GM0034";"2018JJ00";"     914";"    23.4"
"61586";"A025403";"T001139";"GM0034";"2019JJ00";"     935";"    22.9"
"61587";"A025403";"T001139";"GM0034";"2020JJ00";"     943";"    21.9"
"61588";"A025403";"T001139";"GM0034";"2021JJ00";"     938";"    21.3"
"61589";"A025403";"T001139";"GM0034";"2022JJ00";"     867";"    18.7"
"61590";"A025403";"T001139";"GM0484";"2018JJ00";"     915";"    22.2"
"61591";"A025403";"T001139";"GM0484";"2019JJ00";"     935";"    21.7"
"61592";"A025403";"T001139";"GM0484";"2020JJ00";"     944";"    20.6"
"61593";"A025403";"T001139";"GM0484";"2021JJ00";"     922";"    20.2"
"61594";"A025403";"T001139";"GM0484";"2022JJ00";"     842";"    17.9"
"61595";"A025403";"T001139";"GM1723";"2018JJ00";"     955";"    23.4"
"61596";"A025403";"T001139";"GM1723";"2019JJ00";"     965";"    22.5"
"61597";"A025403";"T001139";"GM1723";"2020JJ00";"     966";"    21.6"
"61598";"A025403";"T001139";"GM1723";"2021JJ00";"     994";"    21.1"
"61599";"A025403";"T001139";"GM1723";"2022JJ00";"     907";"    19.2"
"61600";"A025403";"T001139";"GM1959";"2018JJ00";"";"       ."
"61601";"A025403";"T001139";"GM1959";"2019JJ00";"     922";"    21.8"
"61602";"A025403";"T001139";"GM1959";"2020JJ00";"     916";"    21.0"
"61603";"A025403";"T001139";"GM1959";"2021JJ00";"     919";"    20.4"
"61604";"A025403";"T001139";"GM1959";"2022JJ00";"     851";"    18.1"
"61605";"A025403";"T001139";"GM0060";"2018JJ00";"     773";"    23.8"
"61606";"A025403";"T001139";"GM0060";"2019JJ00";"     766";"    22.6"
"61607";"A025403";"T001139";"GM0060";"2020JJ00";"     763";"    21.5"
"61608";"A025403";"T001139";"GM0060";"2021JJ00";"     774";"    21.2"
