"ID";"LeeftijdReferentiepersoon";"RegioS";"Perioden";"TotaalParticuliereHuishoudens_21"
"1425";"10000";"GM1680";"2000JJ00";"9988"
"1426";"10000";"GM1680";"2001JJ00";"10174"
"1427";"10000";"GM1680";"2002JJ00";"10318"
"1428";"10000";"GM1680";"2003JJ00";"10277"
"1429";"10000";"GM1680";"2004JJ00";"10290"
"1430";"10000";"GM1680";"2005JJ00";"10374"
"1431";"10000";"GM1680";"2006JJ00";"10496"
"1432";"10000";"GM1680";"2007JJ00";"10595"
"1433";"10000";"GM1680";"2008JJ00";"10671"
"1434";"10000";"GM1680";"2009JJ00";"10783"
"1435";"10000";"GM1680";"2010JJ00";"10829"
"1436";"10000";"GM1680";"2011JJ00";"11153"
"1437";"10000";"GM1680";"2012JJ00";"11218"
"1438";"10000";"GM1680";"2013JJ00";"11183"
"1439";"10000";"GM1680";"2014JJ00";"10906"
"1440";"10000";"GM1680";"2015JJ00";"10864"
"1441";"10000";"GM1680";"2016JJ00";"10904"
"1442";"10000";"GM1680";"2017JJ00";"10991"
"1443";"10000";"GM1680";"2018JJ00";"11073"
"1444";"10000";"GM1680";"2019JJ00";"11152"
"1445";"10000";"GM1680";"2020JJ00";"11160"
"1446";"10000";"GM1680";"2021JJ00";"11170"
"1447";"10000";"GM1680";"2022JJ00";"11257"
"1448";"10000";"GM1680";"2023JJ00";"11327"
"1449";"10000";"GM1680";"2024JJ00";"11410"
"1450";"10000";"GM0738";"2000JJ00";"4001"
"1451";"10000";"GM0738";"2001JJ00";"4058"
"1452";"10000";"GM0738";"2002JJ00";"4097"
"1453";"10000";"GM0738";"2003JJ00";"4128"
"1454";"10000";"GM0738";"2004JJ00";"4150"
"1455";"10000";"GM0738";"2005JJ00";"4184"
"1456";"10000";"GM0738";"2006JJ00";"4214"
"1457";"10000";"GM0738";"2007JJ00";"4289"
"1458";"10000";"GM0738";"2008JJ00";"4363"
"1459";"10000";"GM0738";"2009JJ00";"4475"
"1460";"10000";"GM0738";"2010JJ00";"4538"
"1461";"10000";"GM0738";"2011JJ00";"4557"
"1462";"10000";"GM0738";"2012JJ00";"4599"
"1463";"10000";"GM0738";"2013JJ00";"4659"
"1464";"10000";"GM0738";"2014JJ00";"4733"
"1465";"10000";"GM0738";"2015JJ00";"4797"
"1466";"10000";"GM0738";"2016JJ00";"4868"
"1467";"10000";"GM0738";"2017JJ00";"4923"
"1468";"10000";"GM0738";"2018JJ00";"4986"
"1469";"10000";"GM0738";"2019JJ00";
"1470";"10000";"GM0738";"2020JJ00";
"1471";"10000";"GM0738";"2021JJ00";
"1472";"10000";"GM0738";"2022JJ00";
"1473";"10000";"GM0738";"2023JJ00";
"1474";"10000";"GM0738";"2024JJ00";
"1475";"10000";"GM0358";"2000JJ00";"9129"
"1476";"10000";"GM0358";"2001JJ00";"9209"
"1477";"10000";"GM0358";"2002JJ00";"9359"
"1478";"10000";"GM0358";"2003JJ00";"9358"
"1479";"10000";"GM0358";"2004JJ00";"9447"
"1480";"10000";"GM0358";"2005JJ00";"9624"
"1481";"10000";"GM0358";"2006JJ00";"10012"
"1482";"10000";"GM0358";"2007JJ00";"10307"
"1483";"10000";"GM0358";"2008JJ00";"10858"
"1484";"10000";"GM0358";"2009JJ00";"11458"
"1485";"10000";"GM0358";"2010JJ00";"11952"
"1486";"10000";"GM0358";"2011JJ00";"12315"
"1487";"10000";"GM0358";"2012JJ00";"12352"
"1488";"10000";"GM0358";"2013JJ00";"12453"
"1489";"10000";"GM0358";"2014JJ00";"12520"
"1490";"10000";"GM0358";"2015JJ00";"12672"
"1491";"10000";"GM0358";"2016JJ00";"12831"
"1492";"10000";"GM0358";"2017JJ00";"12965"
"1493";"10000";"GM0358";"2018JJ00";"12976"
"1494";"10000";"GM0358";"2019JJ00";"13089"
"1495";"10000";"GM0358";"2020JJ00";"13182"
"1496";"10000";"GM0358";"2021JJ00";"13295"
"1497";"10000";"GM0358";"2022JJ00";"13712"
"1498";"10000";"GM0358";"2023JJ00";"14199"
"1499";"10000";"GM0358";"2024JJ00";"14405"
"1500";"10000";"GM0197";"2000JJ00";"7151"
"1501";"10000";"GM0197";"2001JJ00";"7195"
"1502";"10000";"GM0197";"2002JJ00";"7222"
"1503";"10000";"GM0197";"2003JJ00";"7289"
"1504";"10000";"GM0197";"2004JJ00";"7351"
"1505";"10000";"GM0197";"2005JJ00";"10773"
"1506";"10000";"GM0197";"2006JJ00";"10928"
"1507";"10000";"GM0197";"2007JJ00";"11038"
"1508";"10000";"GM0197";"2008JJ00";"11005"
"1509";"10000";"GM0197";"2009JJ00";"11119"
"1510";"10000";"GM0197";"2010JJ00";"11237"
"1511";"10000";"GM0197";"2011JJ00";"11173"
"1512";"10000";"GM0197";"2012JJ00";"11195"
"1513";"10000";"GM0197";"2013JJ00";"11213"
"1514";"10000";"GM0197";"2014JJ00";"11204"
"1515";"10000";"GM0197";"2015JJ00";"11155"
"1516";"10000";"GM0197";"2016JJ00";"11235"
"1517";"10000";"GM0197";"2017JJ00";"11302"
"1518";"10000";"GM0197";"2018JJ00";"11327"
"1519";"10000";"GM0197";"2019JJ00";"11399"
"1520";"10000";"GM0197";"2020JJ00";"11513"
"1521";"10000";"GM0197";"2021JJ00";"11535"
"1522";"10000";"GM0197";"2022JJ00";"11612"
"1523";"10000";"GM0197";"2023JJ00";"11685"
"1524";"10000";"GM0197";"2024JJ00";"11740"
"1525";"10000";"GM0480";"2000JJ00";"3144"
"1526";"10000";"GM0480";"2001JJ00";"3192"
"1527";"10000";"GM0480";"2002JJ00";"3205"
"1528";"10000";"GM0480";"2003JJ00";"3203"
"1529";"10000";"GM0480";"2004JJ00";"3216"
"1530";"10000";"GM0480";"2005JJ00";"3251"
"1531";"10000";"GM0480";"2006JJ00";"3318"
"1532";"10000";"GM0480";"2007JJ00";
"1533";"10000";"GM0480";"2008JJ00";
"1534";"10000";"GM0480";"2009JJ00";
"1535";"10000";"GM0480";"2010JJ00";
"1536";"10000";"GM0480";"2011JJ00";
"1537";"10000";"GM0480";"2012JJ00";
"1538";"10000";"GM0480";"2013JJ00";
"1539";"10000";"GM0480";"2014JJ00";
"1540";"10000";"GM0480";"2015JJ00";
"1541";"10000";"GM0480";"2016JJ00";
"1542";"10000";"GM0480";"2017JJ00";
"1543";"10000";"GM0480";"2018JJ00";
"1544";"10000";"GM0480";"2019JJ00";
"1545";"10000";"GM0480";"2020JJ00";
"1546";"10000";"GM0480";"2021JJ00";
"1547";"10000";"GM0480";"2022JJ00";
"1548";"10000";"GM0480";"2023JJ00";
"1549";"10000";"GM0480";"2024JJ00";
"1550";"10000";"GM0305";"2000JJ00";"3436"
"1551";"10000";"GM0305";"2001JJ00";"3433"
"1552";"10000";"GM0305";"2002JJ00";"3425"
"1553";"10000";"GM0305";"2003JJ00";"3424"
"1554";"10000";"GM0305";"2004JJ00";"3439"
"1555";"10000";"GM0305";"2005JJ00";"3434"
"1556";"10000";"GM0305";"2006JJ00";"3450"
"1557";"10000";"GM0305";"2007JJ00";"3466"
"1558";"10000";"GM0305";"2008JJ00";"3483"
"1559";"10000";"GM0305";"2009JJ00";"3485"
"1560";"10000";"GM0305";"2010JJ00";"3548"
"1561";"10000";"GM0305";"2011JJ00";
"1562";"10000";"GM0305";"2012JJ00";
"1563";"10000";"GM0305";"2013JJ00";
"1564";"10000";"GM0305";"2014JJ00";
"1565";"10000";"GM0305";"2015JJ00";
"1566";"10000";"GM0305";"2016JJ00";
"1567";"10000";"GM0305";"2017JJ00";
"1568";"10000";"GM0305";"2018JJ00";
"1569";"10000";"GM0305";"2019JJ00";
"1570";"10000";"GM0305";"2020JJ00";
"1571";"10000";"GM0305";"2021JJ00";
"1572";"10000";"GM0305";"2022JJ00";
"1573";"10000";"GM0305";"2023JJ00";
"1574";"10000";"GM0305";"2024JJ00";
"1575";"10000";"GM0059";"2000JJ00";"10773"
"1576";"10000";"GM0059";"2001JJ00";"10835"
"1577";"10000";"GM0059";"2002JJ00";"10888"
"1578";"10000";"GM0059";"2003JJ00";"10955"
"1579";"10000";"GM0059";"2004JJ00";"11014"
"1580";"10000";"GM0059";"2005JJ00";"11066"
"1581";"10000";"GM0059";"2006JJ00";"11170"
"1582";"10000";"GM0059";"2007JJ00";"11196"
"1583";"10000";"GM0059";"2008JJ00";"11248"
"1584";"10000";"GM0059";"2009JJ00";"11308"
"1585";"10000";"GM0059";"2010JJ00";"11355"
"1586";"10000";"GM0059";"2011JJ00";"11391"
"1587";"10000";"GM0059";"2012JJ00";"11413"
"1588";"10000";"GM0059";"2013JJ00";"11499"
"1589";"10000";"GM0059";"2014JJ00";"11544"
"1590";"10000";"GM0059";"2015JJ00";"11571"
"1591";"10000";"GM0059";"2016JJ00";"11610"
"1592";"10000";"GM0059";"2017JJ00";"11608"
"1593";"10000";"GM0059";"2018JJ00";"11655"
"1594";"10000";"GM0059";"2019JJ00";"11717"
"1595";"10000";"GM0059";"2020JJ00";"11757"
"1596";"10000";"GM0059";"2021JJ00";"11845"
"1597";"10000";"GM0059";"2022JJ00";"11913"
"1598";"10000";"GM0059";"2023JJ00";"12029"
"1599";"10000";"GM0059";"2024JJ00";"12122"
"1600";"10000";"GM0360";"2000JJ00";"1831"
"1601";"10000";"GM0360";"2001JJ00";"1895"
"1602";"10000";"GM0360";"2002JJ00";
"1603";"10000";"GM0360";"2003JJ00";
"1604";"10000";"GM0360";"2004JJ00";
"1605";"10000";"GM0360";"2005JJ00";
"1606";"10000";"GM0360";"2006JJ00";
"1607";"10000";"GM0360";"2007JJ00";
"1608";"10000";"GM0360";"2008JJ00";
"1609";"10000";"GM0360";"2009JJ00";
"1610";"10000";"GM0360";"2010JJ00";
"1611";"10000";"GM0360";"2011JJ00";
"1612";"10000";"GM0360";"2012JJ00";
"1613";"10000";"GM0360";"2013JJ00";
"1614";"10000";"GM0360";"2014JJ00";
"1615";"10000";"GM0360";"2015JJ00";
"1616";"10000";"GM0360";"2016JJ00";
"1617";"10000";"GM0360";"2017JJ00";
"1618";"10000";"GM0360";"2018JJ00";
"1619";"10000";"GM0360";"2019JJ00";
"1620";"10000";"GM0360";"2020JJ00";
"1621";"10000";"GM0360";"2021JJ00";
"1622";"10000";"GM0360";"2022JJ00";
"1623";"10000";"GM0360";"2023JJ00";
"1624";"10000";"GM0360";"2024JJ00";
"1625";"10000";"GM0482";"2000JJ00";"7202"
"1626";"10000";"GM0482";"2001JJ00";"7305"
"1627";"10000";"GM0482";"2002JJ00";"7295"
"1628";"10000";"GM0482";"2003JJ00";"7283"
"1629";"10000";"GM0482";"2004JJ00";"7266"
"1630";"10000";"GM0482";"2005JJ00";"7301"
"1631";"10000";"GM0482";"2006JJ00";"7338"
"1632";"10000";"GM0482";"2007JJ00";"7466"
"1633";"10000";"GM0482";"2008JJ00";"7501"
"1634";"10000";"GM0482";"2009JJ00";"7541"
"1635";"10000";"GM0482";"2010JJ00";"7626"
"1636";"10000";"GM0482";"2011JJ00";"7727"
"1637";"10000";"GM0482";"2012JJ00";"7856"
"1638";"10000";"GM0482";"2013JJ00";"7942"
"1639";"10000";"GM0482";"2014JJ00";"7967"
"1640";"10000";"GM0482";"2015JJ00";"7983"
"1641";"10000";"GM0482";"2016JJ00";"8044"
"1642";"10000";"GM0482";"2017JJ00";"8076"
"1643";"10000";"GM0482";"2018JJ00";"8124"
"1644";"10000";"GM0482";"2019JJ00";"8166"
"1645";"10000";"GM0482";"2020JJ00";"8236"
"1646";"10000";"GM0482";"2021JJ00";"8246"
"1647";"10000";"GM0482";"2022JJ00";"8274"
"1648";"10000";"GM0482";"2023JJ00";"8484"
"1649";"10000";"GM0482";"2024JJ00";"8510"
"1650";"10000";"GM0613";"2000JJ00";"6311"
"1651";"10000";"GM0613";"2001JJ00";"6841"
"1652";"10000";"GM0613";"2002JJ00";"6992"
