"ID";"Plaatsnamen";"Gemeentecode_1";"Gemeentenaam_2";"EGGCode_3";"EGGNaam_4";"Provinciecode_5";"ProvincienaamAfkorting_6";"PlaatsnaamPTTWoonplaatsnaam_7";"PlaatsnaamGemeentenaam_8";"Plaatsnaam_9"
"0";"0001";"1680";"Aa en Hunze                    ";"016";"Overige gemeenten Drentse Veenkoloniën  ";"22";"D.  ";"Nee";"Ja ";"Aa en Hunze                    "
"1";"0002";"1724";"Bergeijk                       ";"116";"Kempenland                              ";"30";"NB. ";"Nee";"Nee";"Aa, De                         "
"2";"0003";"0141";"Almelo                         ";"024";"Overige gemeenten in Twente             ";"23";"O.  ";"Ja ";"Nee";"Aadorp                         "
"3";"0004";"0373";"Bergen (NH.)                   ";"055";"Noord-Kennemerland                      ";"27";"NH. ";"Nee";"Nee";"Aagtdorp                       "
"4";"0005";"0717";"Veere                          ";"096";"Overige gemeenten Walcheren             ";"29";"Z.  ";"Ja ";"Nee";"Aagtekerke                     "
"5";"0006";"0951";"Nuth                           ";"125";"Oostelijke Mijnstreek                   ";"31";"L.  ";"Nee";"Nee";"Aalbeek                        "
"6";"0007";"0738";"Aalburg                        ";"105";"Land van Altena                         ";"30";"NB. ";"Nee";"Ja ";"Aalburg                        "
"7";"0008";"0109";"Coevorden                      ";"018";"Zuiddrents randgebied                   ";"22";"D.  ";"Ja ";"Nee";"Aalden                         "
"8";"0009";"0141";"Almelo                         ";"024";"Overige gemeenten in Twente             ";"23";"O.  ";"Nee";"Nee";"Aalderinkshoek                 "
"9";"0010";"0907";"Gennep                         ";"120";"Noord-Limburg                           ";"31";"L.  ";"Nee";"Nee";"Aaldonk                        "
"10";"0011";"0358";"Aalsmeer                       ";"062";"Noordhollandse Meerlanden               ";"27";"NH. ";"Ja ";"Ja ";"Aalsmeer                       "
"11";"0012";"0394";"Haarlemmermeer                 ";"062";"Noordhollandse Meerlanden               ";"27";"NH. ";"Ja ";"Nee";"Aalsmeerderbrug                "
"12";"0015";"0866";"Waalre                         ";"114";"Randgebied Eindhoven                    ";"30";"NB. ";"Nee";"Nee";"Aalst                          "
"13";"0014";"0297";"Zaltbommel                     ";"042";"Bommelerwaard                           ";"25";"Gld.";"Ja ";"Nee";"Aalst                          "
"14";"0013";"0214";"Buren                          ";"037";"Oostelijke Betuwe                       ";"25";"Gld.";"Nee";"Nee";"Aalst                          "
"15";"0016";"0826";"Oosterhout                     ";"104";"Gebied om Breda                         ";"30";"NB. ";"Nee";"Nee";"Aalst, Ter                     "
"16";"0018";"0058";"Dongeradeel                    ";"012";"Friese bouwstreek                       ";"21";"F.  ";"Ja ";"Nee";"Aalsum                         "
"17";"0017";"0056";"Zuidhorn                       ";"001";"Groninger Hoogeland en N. Westerkwartier";"20";"Gr. ";"Nee";"Nee";"Aalsum                         "
"18";"0019";"0197";"Aalten                         ";"030";"Overige gemeenten oostelijke Achterhoek ";"25";"Gld.";"Ja ";"Ja ";"Aalten                         "
"19";"0020";"1734";"Overbetuwe                     ";"037";"Oostelijke Betuwe                       ";"25";"Gld.";"Nee";"Nee";"Aam                            "
"20";"0021";"0848";"Son en Breugel                 ";"114";"Randgebied Eindhoven                    ";"30";"NB. ";"Nee";"Nee";"Aanschot                       "
"21";"0022";"0873";"Woensdrecht                    ";"102";"Bergen op Zoom, Roosendaal en omgeving  ";"30";"NB. ";"Nee";"Nee";"Aanwas                         "
"22";"0023";"0480";"Ter Aar                        ";"072";"Noordelijke veenstreek in Zuid-Holland  ";"28";"ZH. ";"Ja ";"Ja ";"Aar, Ter                       "
"23";"0024";"0106";"Assen                          ";"017";"Drentse zandgronden                     ";"22";"D.  ";"Ja ";"Nee";"Aard, Ter                      "
"24";"0025";"0480";"Ter Aar                        ";"072";"Noordelijke veenstreek in Zuid-Holland  ";"28";"ZH. ";"Nee";"Nee";"Aardam                         "
"25";"0026";"1714";"Sluis                          ";"098";"West-Zeeuwsch-Vlaanderen                ";"29";"Z.  ";"Ja ";"Nee";"Aardenburg                     "
"26";"0027";"0200";"Apeldoorn                      ";"033";"Apeldoorn                               ";"25";"Gld.";"Nee";"Nee";"Aardhuis                       "
"27";"0028";"0484";"Alphen aan den Rijn            ";"073";"Rijnstreek Zuid-Holland                 ";"28";"ZH. ";"Ja ";"Nee";"Aarlanderveen                  "
"28";"0030";"1659";"Laarbeek                       ";"115";"Industriegebied Helmond                 ";"30";"NB. ";"Nee";"Nee";"Aarle                          "
"29";"0029";"0753";"Best                           ";"114";"Randgebied Eindhoven                    ";"30";"NB. ";"Nee";"Nee";"Aarle                          "
