gm_code,gm_naam,jaar_van,jaar_naar,lbm,fys,onv,soc,vrz,won
GM0014,Groningen,2002,2008,0.044056801482000196,NA,NA,NA,NA,NA
GM0014,Groningen,2002,2012,0.07730073893621814,NA,NA,NA,NA,NA
GM0014,Groningen,2002,2014,0.08337689166886264,NA,NA,NA,NA,NA
GM0014,Groningen,2002,2016,0.10556671898997205,NA,NA,NA,NA,NA
GM0014,Groningen,2002,2018,0.10667262741488504,NA,NA,NA,NA,NA
GM0014,Groningen,2002,2020,0.13178113965427762,NA,NA,NA,NA,NA
GM0014,Groningen,2002,2022,0.1160287917475431,NA,NA,NA,NA,NA
GM0014,Groningen,2008,2012,0.03324393745421794,NA,NA,NA,NA,NA
GM0014,Groningen,2008,2014,0.039320090186862444,NA,NA,NA,NA,NA
GM0014,Groningen,2008,2016,0.061509917507971856,NA,NA,NA,NA,NA
GM0014,Groningen,2008,2018,0.06261582593288484,NA,NA,NA,NA,NA
GM0014,Groningen,2008,2020,0.08772433817227743,NA,NA,NA,NA,NA
GM0014,Groningen,2008,2022,0.0719719902655429,NA,NA,NA,NA,NA
GM0014,Groningen,2012,2014,0.006076152732644502,NA,NA,NA,NA,NA
GM0014,Groningen,2012,2016,0.028265980053753914,NA,NA,NA,NA,NA
GM0014,Groningen,2012,2018,0.029371888478666897,NA,NA,NA,NA,NA
GM0014,Groningen,2012,2020,0.054480400718059485,NA,NA,NA,NA,NA
GM0014,Groningen,2012,2022,0.038728052811324964,NA,NA,NA,NA,NA
GM0014,Groningen,2014,2016,0.022189827321109412,NA,NA,NA,NA,NA
GM0014,Groningen,2014,2018,0.023295735746022395,0.002547277414351689,0.008140525681290842,0.0014758641255776632,0.010044371355622958,0.001087697169179492
GM0014,Groningen,2014,2020,0.04840424798541498,-0.002083184246827078,0.015826590574677845,5.762037961059494e-4,0.02131243051414794,0.012772207347310795
GM0014,Groningen,2014,2022,0.03265190007868046,9.754006918657326e-6,0.009127680810354123,1.5333391085891115e-4,0.01936902364212152,0.003992107708427976
GM0014,Groningen,2016,2018,0.0011059084249129825,NA,NA,NA,NA,NA
GM0014,Groningen,2016,2020,0.02621442066430557,NA,NA,NA,NA,NA
GM0014,Groningen,2016,2022,0.01046207275757105,NA,NA,NA,NA,NA
GM0014,Groningen,2018,2020,0.02510851223939259,-0.004630461661178767,0.007686064893387003,-8.996603294717138e-4,0.011268059158524982,0.011684510178131303
GM0014,Groningen,2018,2022,0.009356164332658068,-0.0025375234074330316,9.871551290632809e-4,-0.001322530214718752,0.009324652286498564,0.002904410539248484
GM0014,Groningen,2020,2022,-0.01575234790673452,0.0020929382537457353,-0.006698909764323722,-4.228698852470382e-4,-0.001943406872026418,-0.00878009963888282
GM0034,Almere,2002,2008,-0.019033854711165255,NA,NA,NA,NA,NA
GM0034,Almere,2002,2012,-0.030492049952441036,NA,NA,NA,NA,NA
GM0034,Almere,2002,2014,-0.026203096243379687,NA,NA,NA,NA,NA
GM0034,Almere,2002,2016,0.01595728287280984,NA,NA,NA,NA,NA
GM0034,Almere,2002,2018,0.03935466534879151,NA,NA,NA,NA,NA
GM0034,Almere,2002,2020,0.05527398702289332,NA,NA,NA,NA,NA
GM0034,Almere,2002,2022,0.06817791895960834,NA,NA,NA,NA,NA
GM0034,Almere,2008,2012,-0.011458195241275781,NA,NA,NA,NA,NA
GM0034,Almere,2008,2014,-0.007169241532214432,NA,NA,NA,NA,NA
GM0034,Almere,2008,2016,0.034991137583975096,NA,NA,NA,NA,NA
GM0034,Almere,2008,2018,0.05838852005995676,NA,NA,NA,NA,NA
GM0034,Almere,2008,2020,0.07430784173405858,NA,NA,NA,NA,NA
GM0034,Almere,2008,2022,0.0872117736707736,NA,NA,NA,NA,NA
GM0034,Almere,2012,2014,0.004288953709061349,NA,NA,NA,NA,NA
GM0034,Almere,2012,2016,0.04644933282525088,NA,NA,NA,NA,NA
GM0034,Almere,2012,2018,0.06984671530123254,NA,NA,NA,NA,NA
GM0034,Almere,2012,2020,0.08576603697533436,NA,NA,NA,NA,NA
GM0034,Almere,2012,2022,0.09866996891204938,NA,NA,NA,NA,NA
